timestamp	iteration	run_name	status	metric_key	metric_value	model_name	description	overrides	metrics_path
2026-03-29T11:04:34.332450+00:00	0	autoresearch_000	baseline	val_rmse	0.153291	lstm	baseline	["name=autoresearch_000","training.time_budget_sec=600"]	artifacts/autoresearch_000/metrics.json
2026-03-29T11:04:34.645596+00:00	1	autoresearch_001	discard	val_rmse	0.153291	lstm	larger batch size	["training.batch_size=32","name=autoresearch_001","training.time_budget_sec=600"]	artifacts/autoresearch_001/metrics.json
